term,brd & ggp & panc,brd & ggp & kras-mapk,panc & ggp & kras-mapk,brd & ggp & kras-mapk & panc,panc & ggp & kras-mapk set,brd & ggp set,GGP & Panc connection,BRD & GGP connection,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,cdk4,egcg,HY-L025-38,C03,HY-13653,(-)-Epigallocatechin Gallate,EGCG; Epigallocatechol Gallate,989-51-5,458.37,Apoptosis; Endogenous Metabolite,Apoptosis; Metabolic Enzyme/Protease,"(-)-Epigallocatechin Gallate (EGCG) is a major polyphenol in green tea, which can inhibit cell proliferation and induce cell apoptosis. (-)-Epigallocatechin Gallate inhibits glutamate dehydrogenase 1/2 (GDH1/2, GLUD1/2) activity. (-)-Epigallocatechin Gallate has a potent anticancer, antioxidant and anti-inflammatory properties against various types of cancers such as colorectal cancer, myeloid leukemia, thyroid carcinoma[1][2][3][4].",C22H18O11,DMSO : ≥ 30 mg/mL (65.45 mM); H2O : 20 mg/mL (43.63 mM; Need ultrasonic),10mM,Cancer; Inflammation/Immunology,Phase 4,O=C(O[C@H]1[C@@H](C2=CC(O)=C(O)C(O)=C2)OC3=CC(O)=CC(O)=C3C1)C4=CC(O)=C(O)C(O)=C4
,,,,,,,,,,,,,,,,cdk4,melatonin,HY-L025-66,B09,HY-B0075,Melatonin,N-Acetyl-5-methoxytryptamine,73-31-4,232.28,Apoptosis; Autophagy; Endogenous Metabolite; Melatonin Receptor; Mitophagy,Apoptosis; Autophagy; GPCR/G Protein; Metabolic Enzyme/Protease; Neuronal Signaling,Melatonin is a hormone made by the pineal gland that can activates melatonin receptor. Melatonin plays a role in sleep and possesses important antioxidative and anti-inflammatory properties[1][2][3]. Melatonin is a novel selective ATF-6 inhibitor and induces human hepatoma cell apoptosis through COX-2 downregulation[4]. Melatonin attenuates palmitic acid-induced (HY-N0830) mouse granulosa cells apoptosis via endoplasmic reticulum stress[5].,C13H16N2O2,DMSO : 100 mg/mL (430.51 mM; Need ultrasonic); Ethanol : 12.5 mg/mL (53.81 mM; Need ultrasonic); H2O : 1.1 mg/mL (4.74 mM; Need ultrasonic),10mM,Cancer; Inflammation/Immunology; Neurological Disease,Launched,CC(NCCC1=CNC2=C1C=C(OC)C=C2)=O
,,,,,,,,,,,,,,,,cdk4,pristimerin,HY-L025-78,A07,HY-N1937,Pristimerin,Celastrol methyl ester,1258-84-0,464.64,Bacterial,Anti-infection,Pristimerin is a potent and reversible monoacylglycerol lipase (MGL) inhibitor with an IC50 of 93 nM.,C30H40O4,DMSO : 20 mg/mL (43.04 mM; Need ultrasonic); DMF : 25 mg/mL (53.81 mM; Need ultrasonic),10mM,Cancer,No Development Reported,C[C@](C1=CC=C(C(C)=C2O)C3=CC2=O)(CC[C@]4(C)[C@@]5([H])C[C@@](C(OC)=O)(C)CC4)[C@]5(CC[C@]13C)C
,,,,,,,,,,,,,,,,cdk4,silibinin,HY-L025-76,C08,HY-N0779A,Silybin,Silibinin,802918-57-6,482.44,Apoptosis,Apoptosis,"Silybin is a flavonolignan isolated from milk thistle (Silybum marianum) seeds. Silybin induces apoptosis and exhibits hepatoprotective, antioxidant, anti-inflammatory, anti-cancer activity[1][2].",C25H22O10,DMSO : 25 mg/mL (51.82 mM; Need ultrasonic),10mM,Cancer; Inflammation/Immunology,Phase 4,O=C1[C@H](O)[C@@H](C2=CC=C(OC(CO)C(C3=CC=C(O)C(OC)=C3)O4)C4=C2)OC5=CC(O)=CC(O)=C15
,,,,,,,,,,,,,,,,cdk4,berberine,HY-L025-59,B09,HY-18258,Berberine (chloride),Natural Yellow 18 (chloride),633-65-8,371.81,Antibiotic; Autophagy; Bacterial; Endogenous Metabolite; Parasite; Reactive Oxygen Species; Topoisomerase,Anti-infection; Autophagy; Cell Cycle/DNA Damage; Immunology/Inflammation; Metabolic Enzyme/Protease; NF-κB,Berberine chloride is an alkaloid that acts as an antibiotic. Berberine chloride induces reactive oxygen species (ROS) generation and inhibits DNA topoisomerase. Antineoplastic properties[1].,C20H18ClNO4,DMSO : 12.5 mg/mL (33.62 mM; Need ultrasonic); H2O : < 0.1 mg/mL (ultrasonic) (insoluble),10mM,Cancer,Launched,COC1=C(OC)C2=C[N+]3=C(C(C(CC3)=C4)=CC5=C4OCO5)C=C2C=C1.[Cl-]
,,,,,,,,,,,,,,,,nf kb,paeonol,HY-L025-72,G05,HY-N0159,Paeonol,,552-41-0,166.17,Autophagy; Monoamine Oxidase,Autophagy; Neuronal Signaling,"Paeonol is an active extraction from the root of Paeonia suffruticosa, Paeonol inhibits MAO-A and MAO-B with IC50 of 54.6 μM and 42.5 μM, respectively.",C9H10O3,DMSO : ≥ 38 mg/mL (228.68 mM); Ethanol : 50 mg/mL (300.90 mM; Need ultrasonic); H2O : 1 mg/mL (6.02 mM; Need ultrasonic),10mM,Neurological Disease; Cancer,Launched,CC(C1=CC=C(OC)C=C1O)=O
,,,,,,,,,,,,,,,,nf kb,n acetylcysteine,HY-L025-67,B05,HY-B0215,Acetylcysteine,N-Acetylcysteine; N-Acetyl-L-cysteine; NAC,616-91-1,163.19,Apoptosis; Endogenous Metabolite; Ferroptosis; Influenza Virus; Reactive Oxygen Species,Anti-infection; Apoptosis; Immunology/Inflammation; Metabolic Enzyme/Protease; NF-κB,"Acetylcysteine (N-Acetylcysteine) is a mucolytic agent which reduces the thickness of the mucus. Acetylcysteine is a ROS inhibitor[1]. Acetylcysteine is a cysteine precursor, prevents hemin-induced ferroptosis by neutralizing toxic lipids generated by arachidonate-dependent activity of 5-lipoxygenases[5]. Acetylcysteine induces cell apoptosis[2][3]. Acetylcysteine also has anti-influenza virus activities[7].",C5H9NO3S,H2O : 163 mg/mL (998.81 mM; ultrasonic and adjust pH to 7 with NaOH); DMSO : ≥ 100 mg/mL (612.76 mM),10mM,Infection; Neurological Disease; Cancer,Launched,SC[C@@H](C(O)=O)NC(C)=O
,,,,,,,,,,,,,,,,nf kb,propranolol,HY-L025-68,H05,HY-B0573B,Propranolol,,525-66-6,259.34,Adrenergic Receptor; Bacterial,Anti-infection; GPCR/G Protein; Neuronal Signaling,"Propranolol is a nonselective β-adrenergic receptor (βAR) antagonist, has high affinity for the β1AR and β2AR with Ki values of 1.8 nM and 0.8 nM, respectively[1]. Propranolol inhibits [3H]-DHA binding to rat brain membrane preparation with an IC50 of 12 nM[2]. Propranolol is used for the study of hypertension, pheochromocytoma, myocardial infarction, cardiac arrhythmias, angina pectoris, and hypertrophic cardiomyopathy[3].",C16H21NO2,DMSO : 100 mg/mL (385.59 mM; Need ultrasonic),10mM,Neurological Disease; Cardiovascular Disease; Endocrinology; Cancer,Launched,OC(COC1=C2C=CC=CC2=CC=C1)CNC(C)C
,,,,,,,,,,,,,,,,nf kb,dexamethasone,HY-L025-46,B10,HY-14648,Dexamethasone,Hexadecadrol; Prednisolone F,50-02-2,392.46,Antibiotic; Autophagy; Bacterial; Complement System; Glucocorticoid Receptor; Mitophagy; SARS-CoV,Anti-infection; Autophagy; Immunology/Inflammation; Vitamin D Related/Nuclear Receptor,"Dexamethasone (Hexadecadrol) is a glucocorticoid receptor agonist. Dexamethasone also significantly decreases CD11b, CD18, and CD62L expression on neutrophils, and CD11b and CD18 expression on monocytes. Dexamethasone is highly effective in the control of COVID-19 infection. Dexamethasone inhibits production of exosomes containing inflammatory microRNA-155 in lipopolysaccharide-induced macrophage inflammatory responses.",C22H29FO5,DMSO : 250 mg/mL (637.01 mM; ultrasonic and warming and heat to 60°C); Ethanol : 8.33 mg/mL (21.23 mM; Need ultrasonic),10mM,Cancer; Infection; Endocrinology; Inflammation/Immunology,Launched,O=C1C=C[C@@]2(C)C(CC[C@]3([H])[C@]2(F)[C@@H](O)C[C@@]4(C)[C@@]3([H])C[C@@H](C)[C@@]4(C(CO)=O)O)=C1
,,,,,,,,,,,,,,,,nf kb,progesterone,HY-L025-74,D04,HY-N0437,Progesterone,"Pregn-4-ene-3,20-dione",57-83-0,314.46,Endogenous Metabolite; Progesterone Receptor,Metabolic Enzyme/Protease; Vitamin D Related/Nuclear Receptor,Progesterone is a steroid hormone that regulates the menstrual cycle and is crucial for pregnancy.,C21H30O2,H2O : 0.1 mg/mL (0.32 mM; Need ultrasonic); DMSO : 25 mg/mL (79.50 mM; Need ultrasonic),10mM,Cardiovascular Disease; Cancer,Launched,CC([C@H]1CC[C@@]2([H])[C@]3([H])CCC4=CC(CC[C@]4(C)[C@@]3([H])CC[C@]12C)=O)=O
,,,,,,,,,,,,,,,,nf kb,silibinin,HY-L025-76,C08,HY-N0779A,Silybin,Silibinin,802918-57-6,482.44,Apoptosis,Apoptosis,"Silybin is a flavonolignan isolated from milk thistle (Silybum marianum) seeds. Silybin induces apoptosis and exhibits hepatoprotective, antioxidant, anti-inflammatory, anti-cancer activity[1][2].",C25H22O10,DMSO : 25 mg/mL (51.82 mM; Need ultrasonic),10mM,Cancer; Inflammation/Immunology,Phase 4,O=C1[C@H](O)[C@@H](C2=CC=C(OC(CO)C(C3=CC=C(O)C(OC)=C3)O4)C4=C2)OC5=CC(O)=CC(O)=C15
,,,,,,,,,,,,,,,,nf kb,melatonin,HY-L025-66,B09,HY-B0075,Melatonin,N-Acetyl-5-methoxytryptamine,73-31-4,232.28,Apoptosis; Autophagy; Endogenous Metabolite; Melatonin Receptor; Mitophagy,Apoptosis; Autophagy; GPCR/G Protein; Metabolic Enzyme/Protease; Neuronal Signaling,Melatonin is a hormone made by the pineal gland that can activates melatonin receptor. Melatonin plays a role in sleep and possesses important antioxidative and anti-inflammatory properties[1][2][3]. Melatonin is a novel selective ATF-6 inhibitor and induces human hepatoma cell apoptosis through COX-2 downregulation[4]. Melatonin attenuates palmitic acid-induced (HY-N0830) mouse granulosa cells apoptosis via endoplasmic reticulum stress[5].,C13H16N2O2,DMSO : 100 mg/mL (430.51 mM; Need ultrasonic); Ethanol : 12.5 mg/mL (53.81 mM; Need ultrasonic); H2O : 1.1 mg/mL (4.74 mM; Need ultrasonic),10mM,Cancer; Inflammation/Immunology; Neurological Disease,Launched,CC(NCCC1=CNC2=C1C=C(OC)C=C2)=O
,,,,,,,,,,,,,,,,nf kb,apocynin,HY-L025-72,B10,HY-N0088,Apocynin,Acetovanillone,498-02-2,166.17,Apoptosis; Autophagy,Apoptosis; Autophagy,Apocynin is a selective NADPH-oxidase inhibitor with an IC50 of 10 μM.,C9H10O3,DMSO : ≥ 100 mg/mL (601.79 mM); H2O : ≥  mg/mL,10mM,Cancer,Phase 1,CC(C1=CC=C(O)C(OC)=C1)=O
,,,,,,,,,,,,,,,,nf kb,caffeic acid phenethyl ester,HY-L025-73,E11,HY-N0274,Caffeic acid phenethyl ester,,104594-70-9,284.31,Apoptosis; NF-κB,Apoptosis; NF-κB,Caffeic acid phenethyl ester is a NF-κB inhibitor.,C17H16O4,DMSO : 100 mg/mL (351.73 mM; Need ultrasonic); H2O : < 0.1 mg/mL (ultrasonic;warming;heat to 80°C) (insoluble),10mM,Cancer; Inflammation/Immunology,No Development Reported,O=C(OCCC1=CC=CC=C1)/C=C/C2=CC=C(O)C(O)=C2
,,,,,,,,,,,,,,,,nf kb,nac,HY-L025-67,B05,HY-B0215,Acetylcysteine,N-Acetylcysteine; N-Acetyl-L-cysteine; NAC,616-91-1,163.19,Apoptosis; Endogenous Metabolite; Ferroptosis; Influenza Virus; Reactive Oxygen Species,Anti-infection; Apoptosis; Immunology/Inflammation; Metabolic Enzyme/Protease; NF-κB,"Acetylcysteine (N-Acetylcysteine) is a mucolytic agent which reduces the thickness of the mucus. Acetylcysteine is a ROS inhibitor[1]. Acetylcysteine is a cysteine precursor, prevents hemin-induced ferroptosis by neutralizing toxic lipids generated by arachidonate-dependent activity of 5-lipoxygenases[5]. Acetylcysteine induces cell apoptosis[2][3]. Acetylcysteine also has anti-influenza virus activities[7].",C5H9NO3S,H2O : 163 mg/mL (998.81 mM; ultrasonic and adjust pH to 7 with NaOH); DMSO : ≥ 100 mg/mL (612.76 mM),10mM,Infection; Neurological Disease; Cancer,Launched,SC[C@@H](C(O)=O)NC(C)=O
,,,,,,,,,,,,,,,,nf kb,fk506,HY-L025-39,F08,HY-13756A,Tacrolimus (monohydrate),FK506 (monohydrate); Fujimycin (monohydrate); FR900506 (monohydrate),109581-93-3,822.03,Antibiotic; Autophagy; Bacterial; FKBP; Phosphatase,Anti-infection; Apoptosis; Autophagy; Immunology/Inflammation; Metabolic Enzyme/Protease,"Tacrolimus monohydrate (FK506 monohydrate), a macrocyclic lactone, binds to FK506 binding protein (FKBP) to form a complex and inhibits calcineurin phosphatase, which inhibits T-lymphocyte signal transduction and IL-2 transcription. Immunosuppressive properties[1].",C44H71NO13,DMSO : 100 mg/mL (121.65 mM; Need ultrasonic); H2O : < 0.1 mg/mL (ultrasonic;warming;heat to 60°C) (insoluble),10mM,Cancer; Infection; Inflammation/Immunology,Launched,O=C([C@@](CCCC1)([H])N1C(C([C@@]2(O)[C@H](C)C[C@H](OC)[C@@](O2)([H])[C@@H](OC)C[C@@H](C)C/C(C)=C/[C@H]3CC=C)=O)=O)O[C@H](/C(C)=C/[C@H]4C[C@@H](OC)[C@H](O)CC4)[C@H](C)[C@@H](O)CC3=O.O
,,,,,,,,,,,,,,,,nf kb,egcg,HY-L025-38,C03,HY-13653,(-)-Epigallocatechin Gallate,EGCG; Epigallocatechol Gallate,989-51-5,458.37,Apoptosis; Endogenous Metabolite,Apoptosis; Metabolic Enzyme/Protease,"(-)-Epigallocatechin Gallate (EGCG) is a major polyphenol in green tea, which can inhibit cell proliferation and induce cell apoptosis. (-)-Epigallocatechin Gallate inhibits glutamate dehydrogenase 1/2 (GDH1/2, GLUD1/2) activity. (-)-Epigallocatechin Gallate has a potent anticancer, antioxidant and anti-inflammatory properties against various types of cancers such as colorectal cancer, myeloid leukemia, thyroid carcinoma[1][2][3][4].",C22H18O11,DMSO : ≥ 30 mg/mL (65.45 mM); H2O : 20 mg/mL (43.63 mM; Need ultrasonic),10mM,Cancer; Inflammation/Immunology,Phase 4,O=C(O[C@H]1[C@@H](C2=CC(O)=C(O)C(O)=C2)OC3=CC(O)=CC(O)=C3C1)C4=CC(O)=C(O)C(O)=C4
,,,,,,,,,,,,,,,,nf kb,parthenolide,HY-L025-72,E10,HY-N0141,Parthenolide,(-)-Parthenolide,20554-84-1,248.32,Apoptosis; Autophagy; Mitophagy; NF-κB,Apoptosis; Autophagy; NF-κB,Parthenolide is a sesquiterpene lactone found in the medicinal herb Feverfew. Parthenolide exhibits anti-inflammatory activity by inhibiting NF-κB activation; also inhibits HDAC1 protein without affecting other class I/II HDACs.,C15H20O3,H2O : < 0.1 mg/mL (insoluble); DMSO : ≥ 100 mg/mL (402.71 mM),10mM,Cancer,Phase 2,C/C1=C\CC[C@@](C)(O2)[C@H]2[C@@H](OC(C3=C)=O)[C@H]3CC1
,,,,,,,,,,,,,,,,bcl2,metformin,HY-L025-69,A07,HY-B0627,Metformin,"1,1-Dimethylbiguanide",657-24-9,129.16,AMPK; Autophagy; Mitophagy,Autophagy; Epigenetics; PI3K/Akt/mTOR,"Metformin (1,1-Dimethylbiguanide) inhibits the mitochondrial respiratory chain in the liver, leading to activation of AMPK, enhancing insulin sensitivity for type 2 diabetes research. Metformin can cross the blood-brain barrier and triggers autophagy[1].",C4H11N5,H2O : 50 mg/mL (387.12 mM; Need ultrasonic); DMSO : 20.83 mg/mL (161.27 mM; Need ultrasonic),10mM,Cancer; Metabolic Disease; Cardiovascular Disease,Launched,NC(NC(N(C)C)=N)=N
,,,,,,,,,,,,,,,,bcl2,e2,HY-L025-66,F04,HY-B0141,Estradiol,β-Estradiol; E2; 17β-Estradiol; 17β-Oestradiol,50-28-2,272.38,Bacterial; Endogenous Metabolite; Estrogen Receptor/ERR,Anti-infection; Metabolic Enzyme/Protease; Vitamin D Related/Nuclear Receptor,"Estradiol (β-Estradiol) is a steroid hormone and the major female sex hormone. Estradiol can up-regulate the expression of neural markers of human endometrial stem cells (hEnSCs) and promote their neural differentiation. Estradiol can be used for the research of cancers, neurodegenerative diseases and neural tissue engineering[1][2].",C18H24O2,DMSO : 62.5 mg/mL (229.46 mM; ultrasonic and warming and heat to 60°C); Ethanol : 20 mg/mL (73.43 mM; Need ultrasonic),10mM,Endocrinology; Cancer,Launched,C[C@@]1([C@H]2O)[C@](CC2)([H])[C@@](CCC3=C4C=CC(O)=C3)([H])[C@]4([H])CC1
,,,,,,,,,,,,,,,,bcl2,eugenol,HY-L025-73,H07,HY-N0337,Eugenol,,97-53-0,164.2,Apoptosis; Bacterial; Ferroptosis; Parasite; Reactive Oxygen Species,Anti-infection; Apoptosis; Immunology/Inflammation; Metabolic Enzyme/Protease; NF-κB,"Eugenol is an essential oil found in cloves with antibacterial, anthelmintic and antioxidant activity. Eugenol is shown to inhibit lipid peroxidation.",C10H12O2,DMSO : ≥ 100 mg/mL (609.01 mM),10mM,Infection; Inflammation/Immunology; Cancer,Launched,OC1=CC=C(CC=C)C=C1OC
,,,,,,,,,,,,,,,,bcl2,cyclopamine,HY-L025-57,F03,HY-17024,Cyclopamine,11-Deoxojervine,4449-51-8,411.62,Endogenous Metabolite; Hedgehog; Smo,Metabolic Enzyme/Protease; Stem Cell/Wnt,Cyclopamine is a Hedgehog (Hh) pathway antagonist with an IC50 of 46 nM in the Hh cell assay. Cyclopamine is also a selective Smo inhibitor.,C27H41NO2,DMSO : 10 mg/mL (24.29 mM; ultrasonic and warming and heat to 80°C); Ethanol : 20 mg/mL (48.59 mM; Need ultrasonic),10mM,Cancer,No Development Reported,CC1=C2[C@@]([C@@]3([H])[C@]([C@@]4(C(C[C@@H](O)CC4)=CC3)C)([H])C2)([H])CC[C@@]15[C@@H]([C@@]6([H])[C@](C[C@H](C)CN6)([H])O5)C
,,,,,,,,,,,,,,,,bcl2,melatonin,HY-L025-66,B09,HY-B0075,Melatonin,N-Acetyl-5-methoxytryptamine,73-31-4,232.28,Apoptosis; Autophagy; Endogenous Metabolite; Melatonin Receptor; Mitophagy,Apoptosis; Autophagy; GPCR/G Protein; Metabolic Enzyme/Protease; Neuronal Signaling,Melatonin is a hormone made by the pineal gland that can activates melatonin receptor. Melatonin plays a role in sleep and possesses important antioxidative and anti-inflammatory properties[1][2][3]. Melatonin is a novel selective ATF-6 inhibitor and induces human hepatoma cell apoptosis through COX-2 downregulation[4]. Melatonin attenuates palmitic acid-induced (HY-N0830) mouse granulosa cells apoptosis via endoplasmic reticulum stress[5].,C13H16N2O2,DMSO : 100 mg/mL (430.51 mM; Need ultrasonic); Ethanol : 12.5 mg/mL (53.81 mM; Need ultrasonic); H2O : 1.1 mg/mL (4.74 mM; Need ultrasonic),10mM,Cancer; Inflammation/Immunology; Neurological Disease,Launched,CC(NCCC1=CNC2=C1C=C(OC)C=C2)=O
,,,,,,,,,,,,,,,,bcl2,quercetin,HY-L025-72,F04,HY-N0146,Quercetin (dihydrate),,6151-25-3,338.27,Apoptosis; PI3K,Apoptosis; PI3K/Akt/mTOR,"Quercetin dihydrate, a natural flavonoid, is a stimulator of recombinant SIRT1 and a PI3K inhibitor with IC50s of 2.4 μM, 3.0 μM and 5.4 μM for PI3K γ, PI3K δ and PI3K β, respectively[1].",C15H14O9,DMSO : 100 mg/mL (295.63 mM; Need ultrasonic); H2O : 1 mg/mL (2.96 mM; ultrasonic and warming and heat to 80°C),10mM,Inflammation/Immunology; Cancer,Phase 4,O=C1C(O)=C(C2=CC=C(O)C(O)=C2)OC3=CC(O)=CC(O)=C13.[H]O[H].[H]O[H]
,,,,,,,,,,,,,,,,bcl2,propofol,HY-L025-69,B04,HY-B0649,Propofol,"2,6-Diisopropylphenol",2078-54-8,178.27,Endogenous Metabolite; GABA Receptor,Membrane Transporter/Ion Channel; Metabolic Enzyme/Protease; Neuronal Signaling,Propofol potently and directly activates GABAA receptor and inhibits glutamate receptor mediated excitatory synaptic transmission. Propofol has antinociceptive properties and is used for sedation and hypnotic[1].,C12H18O,DMSO : 100 mg/mL (560.95 mM; Need ultrasonic); H2O : 0.5 mg/mL (2.80 mM; Need ultrasonic),10mM,Neurological Disease; Cancer,Launched,OC1=C(C(C)C)C=CC=C1C(C)C
,,,,,,,,,,,,,,,,bcl2,resveratrol,HY-L025-56,C11,HY-16561,Resveratrol,trans-Resveratrol; SRT501,501-36-0,228.24,Antibiotic; Apoptosis; Autophagy; Bacterial; Fungal; IKK; Keap1-Nrf2; Mitophagy; Sirtuin,Anti-infection; Apoptosis; Autophagy; Cell Cycle/DNA Damage; Epigenetics; NF-κB,"Resveratrol (trans-Resveratrol; SRT501), a natural polyphenolic phytoalexin that possesses anti-oxidant, anti-inflammatory, cardioprotective, and anti-cancer properties. Resveratrol (SRT 501) has a wide spectrum of targets including mTOR, JAK, β-amyloid, Adenylyl cyclase, IKKβ, DNA polymerase. Resveratrol also is a specific SIRT1 activator[1][2][3][4]. Resveratrol is a potent pregnane X receptor (PXR) inhibitor[5]. Resveratrol is an Nrf2 activator, ameliorates aging-related progressive renal injury in mice model[6]. Resveratrol increases production of NO in endothelial cells[7].",C14H12O3,DMSO : 100 mg/mL (438.14 mM; Need ultrasonic); Ethanol : 50 mg/mL (219.07 mM; Need ultrasonic),10mM,Cancer; Infection; Inflammation/Immunology,Launched,OC1=CC=C(/C=C/C2=CC(O)=CC(O)=C2)C=C1
,,,,,,,,,,,,,,,,bcl2,rutin,HY-L025-84,H04,HY-W013075,Rutin (trihydrate),Rutoside (trihydrate); Quercetin 3-O-rutinoside (trihydrate),250249-75-3,664.56,Apoptosis; Endogenous Metabolite,Apoptosis; Metabolic Enzyme/Protease,"Rutin (Rutoside) trihydrate is a multifunctional natural flavonoid glycoside. Rutin trihydrate has been demonstrating excellent antioxidant, anti-inflammatory, anti-diabetic, and anti-carcinogenic properties. Cardioprotective and neuroprotective activities [1][2][3].",C27H36O19,DMSO : 50 mg/mL (75.24 mM; Need ultrasonic),10mM,Neurological Disease; Cancer,Launched,O=C1C(O[C@H]2[C@@H]([C@H]([C@@H]([C@@H](CO[C@H]3[C@@H]([C@@H]([C@H]([C@H](C)O3)O)O)O)O2)O)O)O)=C(C4=CC=C(O)C(O)=C4)OC5=CC(O)=CC(O)=C15.O.O.O
,,,,,,,,,,,,,,,,bcl2,paclitaxel,HY-L025-66,A07,HY-B0015,Paclitaxel,,33069-62-4,853.91,ADC Cytotoxin; Apoptosis; Autophagy; Microtubule/Tubulin,Antibody-drug Conjugate/ADC Related; Apoptosis; Autophagy; Cell Cycle/DNA Damage; Cytoskeleton,Paclitaxel is a naturally occurring antineoplastic agent and stabilizes tubulin polymerization. Paclitaxel can cause both mitotic arrest and apoptotic cell death. Paclitaxel also induces autophagy[1][2].,C47H51NO14,H2O : < 0.1 mg/mL (insoluble); DMSO : 100 mg/mL (117.11 mM; Need ultrasonic),10mM,Cancer,Launched,O=C(C1=CC=CC=C1)N[C@@H](C2=CC=CC=C2)[C@H](C(O[C@@H]3C(C)=C([C@@H](OC(C)=O)C([C@@]4(C)[C@]([C@@](CO5)(OC(C)=O)[C@@]5([H])C[C@@H]4O)([H])[C@@H]6OC(C7=CC=CC=C7)=O)=O)C(C)(C)[C@@]6(O)C3)=O)O
,,,,,,,,,,,,,,,,bcl2,egcg,HY-L025-38,C03,HY-13653,(-)-Epigallocatechin Gallate,EGCG; Epigallocatechol Gallate,989-51-5,458.37,Apoptosis; Endogenous Metabolite,Apoptosis; Metabolic Enzyme/Protease,"(-)-Epigallocatechin Gallate (EGCG) is a major polyphenol in green tea, which can inhibit cell proliferation and induce cell apoptosis. (-)-Epigallocatechin Gallate inhibits glutamate dehydrogenase 1/2 (GDH1/2, GLUD1/2) activity. (-)-Epigallocatechin Gallate has a potent anticancer, antioxidant and anti-inflammatory properties against various types of cancers such as colorectal cancer, myeloid leukemia, thyroid carcinoma[1][2][3][4].",C22H18O11,DMSO : ≥ 30 mg/mL (65.45 mM); H2O : 20 mg/mL (43.63 mM; Need ultrasonic),10mM,Cancer; Inflammation/Immunology,Phase 4,O=C(O[C@H]1[C@@H](C2=CC(O)=C(O)C(O)=C2)OC3=CC(O)=CC(O)=C3C1)C4=CC(O)=C(O)C(O)=C4
,,,,,,,,,,,,,,,,bcl2,abt 263,HY-L025-4,A02,HY-10087,Navitoclax,ABT-263,923564-51-6,974.61,Bcl-2 Family,Apoptosis,"Navitoclax (ABT-263) is a potent and orally active Bcl-2 family protein inhibitor that binds to multiple anti-apoptotic Bcl-2 family proteins, such as Bcl-xL, Bcl-2 and Bcl-w, with a Ki of less than 1 nM[1].",C47H55ClF3N5O6S3,DMSO : 75 mg/mL (76.95 mM; Need ultrasonic); DMF : ≥ 100 mg/mL (102.61 mM),10mM,Cancer,Phase 3,O=S(C1=CC(S(NC(C2=CC=C(N3CCN(CC4=C(CCC(C)(C4)C)C5=CC=C(Cl)C=C5)CC3)C=C2)=O)(=O)=O)=CC=C1N[C@H](CCN6CCOCC6)CSC7=CC=CC=C7)(C(F)(F)F)=O
,,,,,,,,,,,,,,,,bcl2,navitoclax,HY-L025-4,A02,HY-10087,Navitoclax,ABT-263,923564-51-6,974.61,Bcl-2 Family,Apoptosis,"Navitoclax (ABT-263) is a potent and orally active Bcl-2 family protein inhibitor that binds to multiple anti-apoptotic Bcl-2 family proteins, such as Bcl-xL, Bcl-2 and Bcl-w, with a Ki of less than 1 nM[1].",C47H55ClF3N5O6S3,DMSO : 75 mg/mL (76.95 mM; Need ultrasonic); DMF : ≥ 100 mg/mL (102.61 mM),10mM,Cancer,Phase 3,O=S(C1=CC(S(NC(C2=CC=C(N3CCN(CC4=C(CCC(C)(C4)C)C5=CC=C(Cl)C=C5)CC3)C=C2)=O)(=O)=O)=CC=C1N[C@H](CCN6CCOCC6)CSC7=CC=CC=C7)(C(F)(F)F)=O
,,,,,,,,,,,,,,,,bcl2,jq1,HY-L025-31,F06,HY-13030,(+)-JQ-1,JQ1,1268524-70-4,456.99,Autophagy; Epigenetic Reader Domain; Ligands for Target Protein for PROTAC,Autophagy; Epigenetics; PROTAC,"(+)-JQ-1 (JQ1) is a potent, specific, and reversible BET bromodomain inhibitor, with IC50s of 77 and 33 nM for the first and second bromodomain (BRD4(1/2))[1]. (+)-JQ-1 also activates autophagy[2].",C23H25ClN4O2S,DMSO : ≥ 45 mg/mL (98.47 mM),10mM,Cancer,No Development Reported,O=C(C[C@H]1C2=NN=C(N2C3=C(C(C4=CC=C(C=C4)Cl)=N1)C(C)=C(S3)C)C)OC(C)(C)C
